User Story ID,User Story Title,User Story Description,Acceptance Criteria,ADO Testcase,,,,,Generated Testcase,,,,,Cosine Similarity,Contextual Precision,Contextual Recall
,,,,,6,Verify the all fields of applications are displaying only readonly mode,All fields should be displayed read only,,,2,When page is marked as read-only\nThen user cannot perform any further modifications\nAnd prompt for page refresh may be shown,User interface disables all inputs and indicates that changes cannot be made without refreshing,,,,
,,,,,,,,,,1,"Given User 1 is actively making edits on the AQM dashboard
And User 2 is idle on the same horizontal tab
When User 1 clicks save",Then User 2 sees a concurrency banner indicating that User 1 has updated the item,,,,
,,,,,,,,,,2,And User 2 is prevented from saving their changes,Then the save action for User 2 is disabled until refresh,,,,
,,,,,,,,,,1,"Given User 1 and User 2 are on the same horizontal tab of AQM dashboard
When User 1 saves their changes first",Then User 2 sees a concurrency banner stating that User 1 has updated the item,,,,
,,,,,,,,,,2,And User 2 is not allowed to save their changes,Then User 2's save action is disabled,,,,
,,,,,,,,,,1,"Given User 1 is editing AQM tab 2
And User 2 is editing AQM tab 3
When both users save their changes",Then there are no concurrency issues,,,,
,,,,,,,,,,2,And both changes are successfully saved,Then both users receive confirmation of successful saves,,,,
,,,,,,,,,,1,"Given User 1 is actively editing an AQM dashboard tab and User 2 is idle on the same tab
When User 1 saves their changes",Then User 2 sees a concurrency banner stating that User 1 has updated the item,,,,
,,,,,,,,,,2,And User 2 is not allowed to save their changes,Then User 2's save action is prohibited,,,,
,,,,,,,,,,1,"Given User 1 has saved changes and the concurrency banner is displayed for User 2
When User 2 tries to save their changes",Then User 2 receives an error message preventing the save,,,,
,,,,,,,,,,1,"Given User 1 and User 2 are both making changes to the same horizontal tab of AQM dashboard
When either user saves their changes",Then only one concurrency banner is displayed for User 2,,,,
,,,,,,,,,,2,And User 2 is informed they cannot save until the page is refreshed,Then User 2 is clearly notified of the need to refresh,,,,
,,,,,,,,,,3,When concurrency failure is triggered\nThen application logs error without including CI/user data fields identified by PO,"Sensitive user data is not included in logging as per security guidelines""",,,,
