What is the difference between the `*` and `+` quantifiers in RegEx?,"`*` matches 0 or more occurrences, whereas `+` matches 1 or more occurrences."
"How do you specify a range of occurrences (e.g., exactly three) in RegEx?",By using curly braces `{3}`.
Which RegEx metacharacter makes the preceding character optional (0 or 1 occurrence)?,The question mark `?`.
What does the character class `\d` represent in a RegEx pattern?,Any digit from 0 to 9.
"In RegEx, what is the difference between `\w` and `\W`?","`\w` matches word characters (letters, numbers, underscores), while `\W` matches non-word characters."
What does the code `\s` match in a string?,"Any whitespace character (space, tab, newline)."
Why should 'raw strings' (prefix `r`) be used for RegEx patterns in Python?,To prevent Python from interpreting backslashes as standard escape sequences (like `\n`).
What is the purpose of the `\b` shortcut in Regular Expressions?,"It indicates a word boundary, ensuring a match occurs only at the start or end of a word."
How is a 'set of characters' defined in a RegEx pattern?,"By using square brackets `[]` (e.g., `[A-Z]` for any uppercase letter)."
"The process of identifying, understanding, and fixing errors in a program is called _____.",Debugging
What is a 'Syntax Error'?,An error that occurs when Python cannot parse the code because it violates language rules.
What defines a 'Runtime Error' or 'Exception'?,An error that occurs during program execution despite the syntax being correct.
Term: Logical Error,Definition: A mistake where the program runs without crashing but produces incorrect or unexpected results.
Which debugging technique is more professional than `print()` for large applications?,Logging (using the `logging` module).
What is a 'Breakpoint' in an IDE debugger?,A designated point where code execution pauses to allow a developer to inspect variable values.
Which Python structure is used to handle exceptions gracefully without crashing?,The `try-except` block.
"In a `try-except` statement, when does the `else` block execute?",It executes only if no exceptions were raised in the `try` block.
What is the function of the `finally` block in error handling?,"It always executes at the end, regardless of whether an error occurred, typically for cleanup."
Which keyword allows a developer to intentionally trigger a specific exception?,The `raise` keyword.
What is the base class for all built-in exceptions in Python?,The `Exception` class.
Which built-in function is used to open a file for manipulation in Python?,The `open()` function.
"In file handling, what does the `'w'` mode do if the file already exists?","It overwrites the existing file, causing all previous data to be lost."
Which mode should be used to add data to a file without deleting its current contents?,The append mode (`'a'`).
What is the purpose of the `'x'` file mode?,To create a new file; it returns an error if the file already exists.
What is the difference between `file.read()` and `file.readlines()`?,"`read()` returns the whole content as one string, while `readlines()` returns a list of strings (one per line)."
Why is the `with` statement preferred over manually calling `file.close()`?,It automatically manages file closure even if an exception occurs during execution.
"Which suffix is added to a mode (e.g., `'rb'`) to work with non-text files like images?","The `'b'` character, representing binary mode."
Which module is designed for reading and writing spreadsheets in comma-separated format?,The `csv` module.
What error is raised if a program attempts to open a file that does not exist in the specified path?,A `FileNotFoundError`.
"When using `csv.writer`, which method is used to add a single list of data as a row?",`writerow()`
What is the effect of the `strip()` method when reading lines from a file?,It removes extra newline characters (trailing whitespace) from the string.
Formula: Square of even numbers using list comprehension,`[x**2 for x in range(n) if x % 2 == 0]`
Concept: Word Boundary in RegEx,"Shortcut: `\b`. Purpose: Ensures the pattern matches as a whole word, not as part of another word."
How can you catch any generic error during testing without specifying a type?,Using `except Exception as e:`.
"In a `try` block, what happens to the remaining code if an exception is raised on the first line?","The remaining lines in the `try` block are skipped, and execution moves to the `except` block."
What is the purpose of the `'r+'` mode in file operations?,It allows the file to be both read from and written to simultaneously.
